Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
KEN,2004-01-01,2004-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2004,2004,LCU,41.1267556500,E
KEN,2005-01-01,2005-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2005,2005,LCU,43.1427476300,E
KEN,2006-01-01,2006-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2006,2006,LCU,46.5009886600,E
KEN,2007-01-01,2007-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2007,2007,LCU,50.2816237500,E
KEN,2008-01-01,2008-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2008,2008,LCU,57.9005194300,E
KEN,2009-01-01,2009-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2009,2009,LCU,64.6368863000,E
KEN,2010-01-01,2010-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2010,2010,LCU,65.9902521000,E
KEN,2011-01-01,2011-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2011,2011,LCU,73.1116825300,E
KEN,2012-01-01,2012-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2012,2012,LCU,79.9715893400,E
KEN,2013-01-01,2013-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2013,2013,LCU,84.1027921200,E
KEN,2014-01-01,2014-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2014,2014,LCU,90.8884498300,E
KEN,2015-01-01,2015-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2015,2015,LCU,100.0000000000,E
KEN,2016-01-01,2016-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2016,2016,LCU,105.8496289000,E
KEN,2017-01-01,2017-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2017,2017,LCU,113.9399838000,E
KEN,2018-01-01,2018-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2018,2018,LCU,118.7217872000,E
KEN,2019-01-01,2019-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2019,2019,LCU,124.1713438000,E
KEN,2020-01-01,2020-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2020,2020,LCU,130.6058660000,E
KEN,2021-01-01,2021-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2021,2021,LCU,135.8521583000,E
KEN,1970-01-01,1970-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1970,1970,US$,24.0354940900,E
KEN,1971-01-01,1971-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1971,1971,US$,25.0102856300,E
