Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
KEN,1991-01-01,1991-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,26.220000,I
KEN,1992-01-01,1992-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,26.650000,I
KEN,1993-01-01,1993-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,20.200000,I
KEN,1994-01-01,1994-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,24.360000,I
KEN,1995-01-01,1995-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,33.260000,I
KEN,1996-01-01,1996-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,30.920000,I
KEN,1997-01-01,1997-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,34.990000,I
KEN,1998-01-01,1998-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,34.850000,I
KEN,1999-01-01,1999-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,30.910000,I
KEN,2000-01-01,2000-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,30.810000,I
KEN,2001-01-01,2001-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,27.460000,I
KEN,2002-01-01,2002-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,26.740000,I
KEN,2003-01-01,2003-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,29.540000,I
KEN,2004-01-01,2004-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,30.290000,I
KEN,2005-01-01,2005-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,32.070000,I
KEN,2006-01-01,2006-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,36.220000,I
KEN,2007-01-01,2007-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,42.790000,I
KEN,2008-01-01,2008-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,54.540000,I
KEN,2009-01-01,2009-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2009,2009,7021,Annual value,,60.590000,I
KEN,2010-01-01,2010-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,63.220000,I
KEN,2011-01-01,2011-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2011,2011,7021,Annual value,,68.640000,I
KEN,2012-01-01,2012-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2012,2012,7021,Annual value,,79.620000,I
KEN,2013-01-01,2013-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2013,2013,7021,Annual value,,83.380000,I
KEN,2014-01-01,2014-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2014,2014,7021,Annual value,,92.500000,I
KEN,2015-01-01,2015-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2015,2015,7021,Annual value,,100.600000,I
KEN,2016-01-01,2016-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2016,2016,7021,Annual value,,106.900000,I
KEN,2017-01-01,2017-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2017,2017,7021,Annual value,,133.890000,I
KEN,2018-01-01,2018-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,137.930000,I
KEN,2019-01-01,2019-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2019,2019,7021,Annual value,,146.880000,I
KEN,2020-01-01,2020-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2020,2020,7021,Annual value,,151.870000,I
KEN,2021-01-01,2021-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2021,2021,7021,Annual value,,148.270000,I
KEN,2022-01-01,2022-12-31,114,'404,Kenya,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2022,2022,7021,Annual value,,154.760000,I
KEN,2011-01-01,2011-12-31,114,'404,Kenya,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,26655.000000,A
KEN,2016-01-01,2016-01-31,114,'404,Kenya,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7001,January,LCU,299889.000000,A
KEN,2016-02-01,2016-02-29,114,'404,Kenya,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7002,February,LCU,298826.000000,A
KEN,2016-03-01,2016-03-31,114,'404,Kenya,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7003,March,LCU,300012.000000,A
